iter	Passed	Remaining
0	18	2678
1	33	2466
2	48	2328
3	61	2222
4	75	2150
5	89	2128
6	104	2105
7	118	2069
8	131	2034
9	145	2014
10	159	1981
11	173	1962
12	188	1958
13	202	1935
14	215	1908
15	229	1894
16	242	1871
17	255	1847
18	269	1827
19	282	1809
20	295	1789
21	309	1770
22	322	1750
23	335	1732
24	347	1711
25	361	1696
26	375	1683
27	389	1668
28	403	1655
29	418	1645
30	431	1627
31	443	1608
32	457	1593
33	471	1581
34	485	1566
35	498	1550
36	513	1541
37	528	1529
38	553	1547
39	567	1531
40	581	1518
41	596	1505
42	611	1493
43	625	1478
44	639	1463
45	654	1451
46	668	1435
47	681	1419
48	696	1407
49	710	1391
50	724	1377
51	738	1363
52	752	1348
53	766	1334
54	780	1320
55	795	1306
56	811	1296
57	826	1282
58	840	1267
59	854	1253
60	875	1248
61	891	1236
62	906	1222
63	922	1211
64	936	1195
65	950	1180
66	964	1166
67	978	1151
68	992	1136
69	1006	1121
70	1020	1107
71	1035	1093
72	1049	1078
73	1063	1063
74	1078	1049
75	1091	1034
76	1106	1020
77	1120	1005
78	1136	992
79	1150	978
80	1165	964
81	1180	949
82	1193	934
83	1208	920
84	1221	905
85	1236	891
86	1250	876
87	1265	862
88	1279	848
89	1294	834
90	1309	820
91	1324	806
92	1339	791
93	1352	777
94	1366	762
95	1380	747
96	1393	732
97	1408	718
98	1422	704
99	1437	689
100	1450	675
101	1464	660
102	1479	646
103	1494	632
104	1509	618
105	1523	603
106	1537	589
107	1552	575
108	1567	560
109	1582	546
110	1596	532
111	1610	517
112	1627	504
113	1642	489
114	1656	475
115	1670	460
116	1683	446
117	1699	432
118	1719	419
119	1735	404
120	1753	391
121	1766	376
122	1779	361
123	1794	347
124	1809	332
125	1823	318
126	1838	303
127	1853	289
128	1867	275
129	1882	260
130	1897	246
131	1911	231
132	1925	217
133	1927	201
134	1942	187
135	1956	172
136	1970	158
137	1984	143
138	1988	128
139	2003	114
140	2019	100
141	2033	85
142	2037	71
143	2055	57
144	2071	42
145	2089	28
146	2104	14
147	2123	0
